2010-10-16 11:30:24+0200 [scrapy] INFO: Scrapy 0.10.2 started (bot: liberbot)
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, TelnetConsole, SpiderContext, WebService, CoreStats, MemoryUsage, CloseSpider
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled scheduler middlewares: DuplicatesFilterMiddleware
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, DownloaderStats, HttpCacheMiddleware
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled item pipelines: 
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Telnet console listening on port 6023
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Web service listening on port 6080
2010-10-16 11:30:24+0200 [eztv] INFO: Spider opened
2010-10-16 11:30:25+0200 [eztv] DEBUG: Crawled (200) <GET http://eztv.it/shows/16/ashes-to-ashes/> (referer: None)
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://torrent.zoink.it/Ashes.to.Ashes.2x05.(PDTV-FoV)[VTV].torrent', serie='Ashes to Ashes', epi='05', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://torrent.zoink.it/Ashes.to.Ashes.2x05.(PDTV-FoV)[VTV].torrent', serie='Ashes to Ashes', epi='05', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download.php?info_hash=ca87e8811694c3d33b697a5d31af6a4ca68a416c', serie='Ashes to Ashes', epi='05', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download.php?info_hash=ca87e8811694c3d33b697a5d31af6a4ca68a416c', serie='Ashes to Ashes', epi='05', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download1.php?id=59080', serie='Ashes to Ashes', epi='05', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download1.php?id=59080', serie='Ashes to Ashes', epi='05', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://torrent.zoink.it/Ashes.to.Ashes.2x04.(PDTV-RiVER)[VTV].torrent', serie='Ashes to Ashes', epi='04', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://torrent.zoink.it/Ashes.to.Ashes.2x04.(PDTV-RiVER)[VTV].torrent', serie='Ashes to Ashes', epi='04', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download.php?info_hash=daa4408e2f7eef00573e4f1295513dba493dabe9', serie='Ashes to Ashes', epi='04', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download.php?info_hash=daa4408e2f7eef00573e4f1295513dba493dabe9', serie='Ashes to Ashes', epi='04', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download.php?id=58776', serie='Ashes to Ashes', epi='04', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download.php?id=58776', serie='Ashes to Ashes', epi='04', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://torrent.zoink.it/Ashes.to.Ashes.2x03.(PDTV-SFM)[VTV].torrent', serie='Ashes to Ashes', epi='03', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://torrent.zoink.it/Ashes.to.Ashes.2x03.(PDTV-SFM)[VTV].torrent', serie='Ashes to Ashes', epi='03', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download.php?info_hash=0c5d271f0111b57be67661c35baa4b7e6ae537da', serie='Ashes to Ashes', epi='03', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download.php?info_hash=0c5d271f0111b57be67661c35baa4b7e6ae537da', serie='Ashes to Ashes', epi='03', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://www.mininova.org/tor/2561075', serie='Ashes to Ashes', epi='03', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://www.mininova.org/tor/2561075', serie='Ashes to Ashes', epi='03', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://torrent.zoink.it/Ashes.to.Ashes.2x02.(PDTV-RiVER)[VTV].torrent', serie='Ashes to Ashes', epi='02', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://torrent.zoink.it/Ashes.to.Ashes.2x02.(PDTV-RiVER)[VTV].torrent', serie='Ashes to Ashes', epi='02', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download.php?info_hash=27149dedc6d5a336f68d3173c3bf3095c6daf316', serie='Ashes to Ashes', epi='02', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download.php?info_hash=27149dedc6d5a336f68d3173c3bf3095c6daf316', serie='Ashes to Ashes', epi='02', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://www.mininova.org/tor/2533709', serie='Ashes to Ashes', epi='02', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://www.mininova.org/tor/2533709', serie='Ashes to Ashes', epi='02', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://torrent.zoink.it/Ashes.to.Ashes.2x01.(PDTV-RiVER)[VTV].torrent', serie='Ashes to Ashes', epi='01', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://torrent.zoink.it/Ashes.to.Ashes.2x01.(PDTV-RiVER)[VTV].torrent', serie='Ashes to Ashes', epi='01', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download.php?info_hash=4b36b90d6f3b8c7145fc00d28267d6339696b129', serie='Ashes to Ashes', epi='01', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download.php?info_hash=4b36b90d6f3b8c7145fc00d28267d6339696b129', serie='Ashes to Ashes', epi='01', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://www.mininova.org/tor/2509044', serie='Ashes to Ashes', epi='01', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://www.mininova.org/tor/2509044', serie='Ashes to Ashes', epi='01', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='1', links='http://www.bt-chat.com/download.php?info_hash=24e4f8df03de7edddc2403d241e1eff4d14c441f', serie='Ashes to Ashes', epi='08', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='1', links='http://www.bt-chat.com/download.php?info_hash=24e4f8df03de7edddc2403d241e1eff4d14c441f', serie='Ashes to Ashes', epi='08', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='1', links='http://www.mininova.org/tor/1276097', serie='Ashes to Ashes', epi='08', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='1', links='http://www.mininova.org/tor/1276097', serie='Ashes to Ashes', epi='08', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='1', links='http://www.bt-chat.com/download.php?info_hash=bd38ec70c2d9188058cf5c05b4bdb0ef7fd269f6', serie='Ashes to Ashes', epi='06', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
