2010-10-16 11:35:54+0200 [scrapy] INFO: Scrapy 0.10.2 started (bot: liberbot)
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, TelnetConsole, SpiderContext, WebService, CoreStats, MemoryUsage, CloseSpider
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled scheduler middlewares: DuplicatesFilterMiddleware
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, DownloaderStats, HttpCacheMiddleware
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled item pipelines: 
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Telnet console listening on port 6023
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Web service listening on port 6080
2010-10-16 11:35:54+0200 [eztv] INFO: Spider opened
2010-10-16 11:35:55+0200 [eztv] DEBUG: Crawled (200) <GET http://eztv.it/shows/203/nurse-jackie/> (referer: None)
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://www.bt-chat.com/download.php?info_hash=f38698fd179a437e17487a6185dbf5dd5d253da2', serie='Nurse Jackie', epi='07', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://www.bt-chat.com/download.php?info_hash=f38698fd179a437e17487a6185dbf5dd5d253da2', serie='Nurse Jackie', epi='07', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://zoink.it/torrent/F38698FD179A437E17487A6185DBF5DD5D253DA2.torrent', serie='Nurse Jackie', epi='07', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://zoink.it/torrent/F38698FD179A437E17487A6185DBF5DD5D253DA2.torrent', serie='Nurse Jackie', epi='07', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://torrent.zoink.it/Nurse.Jackie.S02E06.HDTV.XviD-XII.[eztv].torrent', serie='Nurse Jackie', epi='06', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://torrent.zoink.it/Nurse.Jackie.S02E06.HDTV.XviD-XII.[eztv].torrent', serie='Nurse Jackie', epi='06', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://www.bt-chat.com/download.php?info_hash=df8bdffd948f14c1a2a9421b0d90e9c44555bb2b', serie='Nurse Jackie', epi='06', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://www.bt-chat.com/download.php?info_hash=df8bdffd948f14c1a2a9421b0d90e9c44555bb2b', serie='Nurse Jackie', epi='06', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://torrage.com/torrent/DF8BDFFD948F14C1A2A9421B0D90E9C44555BB2B.torrent', serie='Nurse Jackie', epi='06', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://torrage.com/torrent/DF8BDFFD948F14C1A2A9421B0D90E9C44555BB2B.torrent', serie='Nurse Jackie', epi='06', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://torrent.zoink.it/Nurse.Jackie.S02E05.HDTV.XviD-NoTV.[eztv].torrent', serie='Nurse Jackie', epi='05', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://torrent.zoink.it/Nurse.Jackie.S02E05.HDTV.XviD-NoTV.[eztv].torrent', serie='Nurse Jackie', epi='05', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://www.bt-chat.com/download.php?info_hash=4920962e1b4b7fcba6cdf436723438856eca4e98', serie='Nurse Jackie', epi='05', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://www.bt-chat.com/download.php?info_hash=4920962e1b4b7fcba6cdf436723438856eca4e98', serie='Nurse Jackie', epi='05', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://torrage.com/torrent/4920962E1B4B7FCBA6CDF436723438856ECA4E98.torrent', serie='Nurse Jackie', epi='05', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://torrage.com/torrent/4920962E1B4B7FCBA6CDF436723438856ECA4E98.torrent', serie='Nurse Jackie', epi='05', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://zoink.it/torrent/4920962E1B4B7FCBA6CDF436723438856ECA4E98.torrent', serie='Nurse Jackie', epi='05', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
