2010-10-16 11:32:40+0200 [scrapy] INFO: Scrapy 0.10.2 started (bot: liberbot)
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, TelnetConsole, SpiderContext, WebService, CoreStats, MemoryUsage, CloseSpider
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled scheduler middlewares: DuplicatesFilterMiddleware
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, DownloaderStats, HttpCacheMiddleware
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled item pipelines: 
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Telnet console listening on port 6023
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Web service listening on port 6080
2010-10-16 11:32:40+0200 [eztv] INFO: Spider opened
2010-10-16 11:32:40+0200 [eztv] DEBUG: Crawled (200) <GET http://eztv.it/shows/139/jurassic-fight-club/> (referer: None)
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/John.Safrans.Race.Relations.S01E06.HDTV.XviD-HDCP.[eztv].torrent', serie='John Safrans Race Relations', epi='06', type='Torrent') in <http://eztv.it/shows/339/john-safrans-race-relations/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/John.Safrans.Race.Relations.S01E06.HDTV.XviD-HDCP.[eztv].torrent', serie='John Safrans Race Relations', epi='06', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=6fbabd9c761452d3cb6d2832884295b7782153da', serie='John Safrans Race Relations', epi='06', type='Torrent') in <http://eztv.it/shows/339/john-safrans-race-relations/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=6fbabd9c761452d3cb6d2832884295b7782153da', serie='John Safrans Race Relations', epi='06', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/3188615', serie='John Safrans Race Relations', epi='06', type='Torrent') in <http://eztv.it/shows/339/john-safrans-race-relations/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/3188615', serie='John Safrans Race Relations', epi='06', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrage.com/torrent/6FBABD9C761452D3CB6D2832884295B7782153DA.torrent', serie='John Safrans Race Relations', epi='06', type='Torrent') in <http://eztv.it/shows/339/john-safrans-race-relations/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrage.com/torrent/6FBABD9C761452D3CB6D2832884295B7782153DA.torrent', serie='John Safrans Race Relations', epi='06', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://public.zoink.it/torrent/6FBABD9C761452D3CB6D2832884295B7782153DA.torrent', serie='John Safrans Race Relations', epi='06', type='Torrent') in <http://eztv.it/shows/339/john-safrans-race-relations/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://public.zoink.it/torrent/6FBABD9C761452D3CB6D2832884295B7782153DA.torrent', serie='John Safrans Race Relations', epi='06', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/John.Safrans.Race.Relations.S01E05.HDTV.XviD-BiA.[eztv].torrent', serie='John Safrans Race Relations', epi='05', type='Torrent') in <http://eztv.it/shows/339/john-safrans-race-relations/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/John.Safrans.Race.Relations.S01E05.HDTV.XviD-BiA.[eztv].torrent', serie='John Safrans Race Relations', epi='05', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=d5fbb855eca6d71c206e24c87b07c090776362c4', serie='John Safrans Race Relations', epi='05', type='Torrent') in <http://eztv.it/shows/339/john-safrans-race-relations/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=d5fbb855eca6d71c206e24c87b07c090776362c4', serie='John Safrans Race Relations', epi='05', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/3174124', serie='John Safrans Race Relations', epi='05', type='Torrent') in <http://eztv.it/shows/339/john-safrans-race-relations/>
