2010-10-16 11:31:58+0200 [scrapy] INFO: Scrapy 0.10.2 started (bot: liberbot)
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, TelnetConsole, SpiderContext, WebService, CoreStats, MemoryUsage, CloseSpider
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled scheduler middlewares: DuplicatesFilterMiddleware
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, DownloaderStats, HttpCacheMiddleware
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled item pipelines: 
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Telnet console listening on port 6023
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Web service listening on port 6080
2010-10-16 11:31:58+0200 [eztv] INFO: Spider opened
2010-10-16 11:31:58+0200 [eztv] DEBUG: Crawled (200) <GET http://eztv.it/shows/90/everybody-hates-chris/> (referer: None)
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2425420', serie='Everybody Hates Chris', epi='18', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E17.Everybody.Hates.Spring.Break.HDTV.XviD-FQM.[eztv].torrent', serie='Everybody Hates Chris', epi='17', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E17.Everybody.Hates.Spring.Break.HDTV.XviD-FQM.[eztv].torrent', serie='Everybody Hates Chris', epi='17', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=49edcd3b0437abb5ff740e929c20dfd5c36c9136', serie='Everybody Hates Chris', epi='17', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=49edcd3b0437abb5ff740e929c20dfd5c36c9136', serie='Everybody Hates Chris', epi='17', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2401603', serie='Everybody Hates Chris', epi='17', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2401603', serie='Everybody Hates Chris', epi='17', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E16.Everybody.Hates.Lasagna.HDTV.XviD-FQM.[eztv].torrent', serie='Everybody Hates Chris', epi='16', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E16.Everybody.Hates.Lasagna.HDTV.XviD-FQM.[eztv].torrent', serie='Everybody Hates Chris', epi='16', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=0fc5c743ef37fdb5126beded9ce04e63795501d8', serie='Everybody Hates Chris', epi='16', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=0fc5c743ef37fdb5126beded9ce04e63795501d8', serie='Everybody Hates Chris', epi='16', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2375805', serie='Everybody Hates Chris', epi='16', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2375805', serie='Everybody Hates Chris', epi='16', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E15.HDTV.XviD-NoTV.[eztv].torrent', serie='Everybody Hates Chris', epi='15', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E15.HDTV.XviD-NoTV.[eztv].torrent', serie='Everybody Hates Chris', epi='15', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=75b92105e82e9ee159d43198f905ada46b02991d', serie='Everybody Hates Chris', epi='15', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=75b92105e82e9ee159d43198f905ada46b02991d', serie='Everybody Hates Chris', epi='15', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2257231', serie='Everybody Hates Chris', epi='15', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2257231', serie='Everybody Hates Chris', epi='15', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E14.HDTV.XviD-NoTV.[eztv].torrent', serie='Everybody Hates Chris', epi='14', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E14.HDTV.XviD-NoTV.[eztv].torrent', serie='Everybody Hates Chris', epi='14', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=57441eaca276765ecf73f201543198a015ed293c', serie='Everybody Hates Chris', epi='14', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=57441eaca276765ecf73f201543198a015ed293c', serie='Everybody Hates Chris', epi='14', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2234139', serie='Everybody Hates Chris', epi='14', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2234139', serie='Everybody Hates Chris', epi='14', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E13.HDTV.XviD-NoTV.[eztv].torrent', serie='Everybody Hates Chris', epi='13', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E13.HDTV.XviD-NoTV.[eztv].torrent', serie='Everybody Hates Chris', epi='13', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=f3b134fc900c357fa301aa023847a965a0d6d86e', serie='Everybody Hates Chris', epi='13', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=f3b134fc900c357fa301aa023847a965a0d6d86e', serie='Everybody Hates Chris', epi='13', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2210173', serie='Everybody Hates Chris', epi='13', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2210173', serie='Everybody Hates Chris', epi='13', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E12.HDTV.XviD-LOL.[eztv].torrent', serie='Everybody Hates Chris', epi='12', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E12.HDTV.XviD-LOL.[eztv].torrent', serie='Everybody Hates Chris', epi='12', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=73cb31820dcd70017b358a7c38faa90a2a16c31d', serie='Everybody Hates Chris', epi='12', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=73cb31820dcd70017b358a7c38faa90a2a16c31d', serie='Everybody Hates Chris', epi='12', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2186965', serie='Everybody Hates Chris', epi='12', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2186965', serie='Everybody Hates Chris', epi='12', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E11.Everybody.Hates.Mr.Levine.HDTV.XviD-FQM.[eztv].torrent', serie='Everybody Hates Chris', epi='11', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E11.Everybody.Hates.Mr.Levine.HDTV.XviD-FQM.[eztv].torrent', serie='Everybody Hates Chris', epi='11', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=db0a678a0f1ebbeeaea38e4b471aff760630d649', serie='Everybody Hates Chris', epi='11', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=db0a678a0f1ebbeeaea38e4b471aff760630d649', serie='Everybody Hates Chris', epi='11', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2164212', serie='Everybody Hates Chris', epi='11', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2164212', serie='Everybody Hates Chris', epi='11', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E10.HDTV.XviD-LOL.[eztv].torrent', serie='Everybody Hates Chris', epi='10', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E10.HDTV.XviD-LOL.[eztv].torrent', serie='Everybody Hates Chris', epi='10', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=3eeacdb4ca2bbec415a91287ed24f83922a8c31e', serie='Everybody Hates Chris', epi='10', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
